zip_code,City,CountyName,investment_score,vacancy_rate,price_cut_rate,renter_occupied_units,eviction_count,non_payment_count,ellis_count,owner_exit_count,eviction_rate_per_1k,d_eviction_rate,d_vacancy,d_price_cuts,d_ellis,distress_score,mkt_score
94103,San Francisco,San Francisco County,58.7043795620438,0.2076761619190404,0.2222222222222222,13259.0,467.0,93.0,1.0,3.0,35.22135907685345,98.90510948905109,88.6861313868613,79.37956204379562,93.43065693430657,90.64781021897808,58.7043795620438
94107,San Francisco,San Francisco County,62.22627737226277,0.2116429834326501,0.1538461538461538,9799.0,367.0,241.0,3.0,6.0,37.45280130625574,99.27007299270073,89.41605839416059,51.64233576642335,95.07299270072993,84.27007299270073,62.22627737226277
94109,San Francisco,San Francisco County,66.0036496350365,0.2012814983673218,0.1217391304347826,27131.0,546.0,65.0,9.0,12.0,20.124580737901294,95.98540145985402,88.32116788321169,41.97080291970803,97.62773722627736,80.81204379562044,66.0036496350365
94124,San Francisco,San Francisco County,59.607664233576635,0.0695924764890282,0.2,5534.0,152.0,32.0,6.0,22.0,27.466570292735813,97.08029197080292,55.1094890510949,69.8905109489051,95.98540145985402,79.62591240875913,59.607664233576635
94133,San Francisco,San Francisco County,67.18978102189782,0.1964917679643022,0.1176470588235294,10717.0,151.0,14.0,6.0,8.0,14.08976392647196,93.43065693430657,87.95620437956204,40.14598540145985,95.98540145985402,79.12408759124087,67.18978102189782
94102,San Francisco,San Francisco County,63.05656934306569,0.1802847984866796,0.1,17352.0,559.0,226.0,1.0,2.0,32.21530659289995,97.8102189781022,86.4963503649635,36.31386861313868,93.43065693430657,78.9507299270073,63.05656934306569
94105,San Francisco,San Francisco County,61.058394160583944,0.2246586134453781,0.1590909090909091,4632.0,460.0,94.0,0.0,1.0,99.3091537132988,100.0,90.87591240875912,53.284671532846716,46.53284671532847,78.02007299270073,61.058394160583944
94131,San Francisco,San Francisco County,73.7956204379562,0.1014666987256552,0.16,5550.0,65.0,7.0,7.0,5.0,11.711711711711711,91.6058394160584,70.8029197080292,54.1970802919708,96.71532846715328,77.81934306569343,73.7956204379562
94110,San Francisco,San Francisco County,75.32846715328468,0.1232549595885378,0.0833333333333333,16136.0,431.0,72.0,39.0,50.0,26.71046108081309,96.71532846715328,79.1970802919708,33.02919708029197,100.0,76.90693430656934,75.32846715328468
94115,San Francisco,San Francisco County,76.98905109489051,0.1649638525422716,0.06,12456.0,215.0,88.0,2.0,7.0,17.260757867694284,95.25547445255475,83.94160583941606,31.02189781021898,94.34306569343066,76.23175182481752,76.98905109489051
